fid,id,left,top,right,bottom,row_index,col_index,X,elv_cls,KG_cl_1,KG_cl_2,KG_cl_3,KG_c_1_,lnd_cv_,lnd_c__,bm_clss,bm_shr_,IPCC_r_,_count,_sum,layer,path,IPCC_r__count
177,633780,40,45.25,40.25,45,179,880,122024,0-100,C,Cf,Cfa,Temperate,Croplands,Croplands,"Temperate Grasslands, Savannas & Shrublands",T. Grasslands,EEU,23,0,C1b neutral,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b neutral.gpkg|layername=C1b neutral,2093
178,850802,115.25,-30.25,115.5,-30.5,481,1181,189046,100-400,C,Cs,Csa,Temperate,Croplands,Croplands,"Mediterranean Forests, Woodlands & Scrub",Mediterranean,SAU,0,0,C1b neutral,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b neutral.gpkg|layername=C1b neutral,634
179,216199,-105,40.5,-104.75,40.25,198,300,20340,800-1500,B,BS,BSk,Arid,Croplands,Croplands,"Temperate Grasslands, Savannas & Shrublands",T. Grasslands,CNA,12,0,C1b neutral,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b neutral.gpkg|layername=C1b neutral,2047
180,185269,-115.75,33,-115.5,32.75,228,257,12634,0-100,B,BW,BWh,Arid,Croplands,Croplands,Deserts & Xeric Shrublands,Deserts,NCA,1,0,C1b neutral,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b neutral.gpkg|layername=C1b neutral,179
181,570733,18,-33,18.25,-33.25,492,792,92264,0-100,C,Cs,Csb,Temperate,Croplands,Croplands,"Mediterranean Forests, Woodlands & Scrub",Mediterranean,WSAF,0,0,C1b neutral,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b neutral.gpkg|layername=C1b neutral,51
182,847913,114.25,-28,114.5,-28.25,472,1177,187987,100-400,B,BS,BSh,Arid,Croplands,Croplands,"Mediterranean Forests, Woodlands & Scrub",Mediterranean,CAU,0,0,C1b neutral,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b neutral.gpkg|layername=C1b neutral,25
183,259423,-90,34.5,-89.75,34.25,222,360,31406,0-100,C,Cf,Cfa,Temperate,Cropland/Natural Vegetation Mosaics,Croplands,"Temperate Grasslands, Savannas & Shrublands",T. Grasslands,ENA,12,0,C1b neutral,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b neutral.gpkg|layername=C1b neutral,1504
184,734590,75,42.75,75.25,42.5,189,1020,150441,1500-3000,D,Df,Dfb,Continental,Croplands,Croplands,"Temperate Grasslands, Savannas & Shrublands",T. Grasslands,ECA,0,0,C1b neutral,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b neutral.gpkg|layername=C1b neutral,76
185,311366,-72,8.75,-71.75,8.5,325,432,43277,0-100,A,Af,Af,Tropical,Cropland/Natural Vegetation Mosaics,Croplands,Tropical & Subtropical Dry Broadleaf Forests,T/S Dry BL Forests,NSA,0,0,C1b neutral,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b neutral.gpkg|layername=C1b neutral,15
186,308675,-73,-38.5,-72.75,-38.75,514,428,41985,100-400,C,Cs,Csb,Temperate,Croplands,Croplands,"Mediterranean Forests, Woodlands & Scrub",Mediterranean,SWS,2,0,C1b neutral,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b neutral.gpkg|layername=C1b neutral,80
187,170055,-121,56.5,-120.75,56.25,134,236,9606,400-800,D,Df,Dfb,Continental,Croplands,Croplands,Boreal Forests/Taiga,B. Forests,NWN,0,0,C1b neutral,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b neutral.gpkg|layername=C1b neutral,502
188,336764,-63.25,-40.75,-63,-41,523,467,53741,0-100,B,BS,BSk,Arid,Cropland/Natural Vegetation Mosaics,Croplands,"Temperate Grasslands, Savannas & Shrublands",T. Grasslands,SSA,0,0,C1b neutral,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b neutral.gpkg|layername=C1b neutral,3
189,507048,-4,48.25,-3.75,48,167,704,73696,100-400,C,Cf,Cfb,Temperate,Cropland/Natural Vegetation Mosaics,Croplands,Temperate Broadleaf & Mixed Forests,T. BL Forests,WCE,57,0,C1b neutral,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b neutral.gpkg|layername=C1b neutral,5271
190,691357,60,51,60.25,50.75,156,960,139277,100-400,D,Df,Dfa,Continental,Croplands,Croplands,"Temperate Grasslands, Savannas & Shrublands",T. Grasslands,WSB,44,0,C1b neutral,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b neutral.gpkg|layername=C1b neutral,2135
191,469741,-17,15,-16.75,14.75,300,652,68228,0-100,B,BS,BSh,Arid,Croplands,Croplands,"Tropical & Subtropical Grasslands, Savannas & Shrublands",T/S Grasslands,SAH,0,0,C1b positive,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b positive.gpkg|layername=C1b positive,22
192,602309,29,-7,29.25,-7.25,388,836,108263,1500-3000,A,Aw,Aw,Tropical,Cropland/Natural Vegetation Mosaics,Croplands,Tropical & Subtropical Moist Broadleaf Forests,T/S Moist BL Forests,SEAF,1,1,C1b positive,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b positive.gpkg|layername=C1b positive,154
193,328793,-66,-28,-65.75,-28.25,472,456,50896,1500-3000,B,BS,BSk,Arid,Croplands,Croplands,"Tropical & Subtropical Grasslands, Savannas & Shrublands",T/S Grasslands,SES,5,2,C1b positive,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b positive.gpkg|layername=C1b positive,1729
194,734640,75,30.25,75.25,30,239,1020,150392,100-400,B,BS,BSh,Arid,Croplands,Croplands,Deserts & Xeric Shrublands,Deserts,TIB,0,0,C1b positive,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b positive.gpkg|layername=C1b positive,285
195,606553,30.5,12,30.75,11.75,312,842,110416,400-800,B,BS,BSh,Arid,Croplands,Croplands,"Tropical & Subtropical Grasslands, Savannas & Shrublands",T/S Grasslands,NEAF,2,0,C1b positive,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b positive.gpkg|layername=C1b positive,173
196,277471,-83.75,22.5,-83.5,22.25,270,385,34917,0-100,A,Am,Am,Tropical,Croplands,Croplands,Tropical & Subtropical Coniferous Forests,T/S Coni. Forests,CAR,2,2,C1b positive,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b positive.gpkg|layername=C1b positive,104
197,337400,-63,-19.75,-62.75,-20,439,468,54068,400-800,A,Aw,Aw,Tropical,Cropland/Natural Vegetation Mosaics,Croplands,"Tropical & Subtropical Grasslands, Savannas & Shrublands",T/S Grasslands,SAM,0,0,C1b positive,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b positive.gpkg|layername=C1b positive,555
198,469742,-17,14.75,-16.75,14.5,301,652,68227,0-100,B,BS,BSh,Arid,Croplands,Croplands,"Tropical & Subtropical Grasslands, Savannas & Shrublands",T/S Grasslands,WAF,2,2,C1b positive,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b positive.gpkg|layername=C1b positive,57
199,163624,-123.25,44.25,-123,44,183,227,8357,100-400,C,Cs,Csb,Temperate,Croplands,Croplands,"Temperate Grasslands, Savannas & Shrublands",T. Grasslands,WNA,0,0,C1b positive,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b positive.gpkg|layername=C1b positive,165
200,892980,130,45.25,130.25,45,179,1240,202656,400-800,D,Dw,Dwb,Continental,Croplands,Croplands,Temperate Broadleaf & Mixed Forests,T. BL Forests,RFE,0,0,C1b positive,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b positive.gpkg|layername=C1b positive,177
201,216160,-105,50.25,-104.75,50,159,300,20379,400-800,D,Df,Dfb,Continental,Croplands,Croplands,"Temperate Grasslands, Savannas & Shrublands",T. Grasslands,NEN,0,0,C1b positive,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b positive.gpkg|layername=C1b positive,254
202,713054,67.5,26.75,67.75,26.5,253,990,144390,0-100,B,BW,BWh,Arid,Croplands,Croplands,Deserts & Xeric Shrublands,Deserts,SAS,43,41,C1b positive,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b positive.gpkg|layername=C1b positive,3119
203,811697,101.75,26,102,25.75,256,1127,175364,800-1500,C,Cw,Cwa,Temperate,Croplands,Croplands,Tropical & Subtropical Moist Broadleaf Forests,T/S Moist BL Forests,EAS,19,19,C1b positive,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b positive.gpkg|layername=C1b positive,3547
204,940093,146.25,-33,146.5,-33.25,492,1305,214884,100-400,B,BS,BSk,Arid,Croplands,Croplands,"Temperate Grasslands, Savannas & Shrublands",T. Grasslands,EAU,1,1,C1b positive,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b positive.gpkg|layername=C1b positive,107
205,374840,-50,-19.75,-49.75,-20,439,520,63648,400-800,A,Aw,Aw,Tropical,Croplands,Croplands,Tropical & Subtropical Moist Broadleaf Forests,T/S Moist BL Forests,NES,1,0,C1b positive,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b positive.gpkg|layername=C1b positive,1185
206,492692,-9,37.25,-8.75,37,211,684,70615,0-100,C,Cs,Csa,Temperate,Croplands,Croplands,"Mediterranean Forests, Woodlands & Scrub",Mediterranean,MED,69,69,C1b positive,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b positive.gpkg|layername=C1b positive,2067
207,235733,-98.25,17,-98,16.75,292,327,25770,800-1500,A,Aw,Aw,Tropical,Croplands,Croplands,Tropical & Subtropical Coniferous Forests,T/S Coni. Forests,SCA,4,3,C1b positive,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b positive.gpkg|layername=C1b positive,148
208,490472,-9.75,52.25,-9.5,52,151,681,70270,100-400,C,Cf,Cfb,Temperate,Cropland/Natural Vegetation Mosaics,Croplands,Temperate Broadleaf & Mixed Forests,T. BL Forests,NEU,2,2,C1b positive,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b positive.gpkg|layername=C1b positive,651
209,790856,94.5,16.25,94.75,16,295,1098,167837,0-100,A,Am,Am,Tropical,Croplands,Croplands,Mangroves,Mangroves,SEA,2,1,C1b positive,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b positive.gpkg|layername=C1b positive,882
210,777749,90,53,90.25,52.75,148,1080,164049,400-800,D,Dw,Dwc,Continental,Croplands,Croplands,"Temperate Grasslands, Savannas & Shrublands",T. Grasslands,ESB,22,20,C1b positive,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b positive.gpkg|layername=C1b positive,603
211,633812,40,37.25,40.25,37,211,880,122001,400-800,C,Cs,Csa,Temperate,Croplands,Croplands,"Mediterranean Forests, Woodlands & Scrub",Mediterranean,WCA,11,9,C1b positive,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b positive.gpkg|layername=C1b positive,1021
212,285498,-81,-4.25,-80.75,-4.5,377,396,36322,100-400,B,BS,BSh,Arid,Cropland/Natural Vegetation Mosaics,Croplands,Tropical & Subtropical Dry Broadleaf Forests,T/S Dry BL Forests,NWS,2,1,C1b positive,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b positive.gpkg|layername=C1b positive,146
213,592291,25.5,-22.5,25.75,-22.75,450,822,103035,800-1500,B,BS,BSh,Arid,Croplands,Croplands,Deserts & Xeric Shrublands,Deserts,ESAF,0,0,C1b positive,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b positive.gpkg|layername=C1b positive,67
214,1007821,169.75,-45,170,-45.25,540,1399,220810,400-800,C,Cf,Cfb,Temperate,Croplands,Croplands,"Temperate Grasslands, Savannas & Shrublands",T. Grasslands,NZ,,,C1b positive,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b positive.gpkg|layername=C1b positive,21
215,633780,40,45.25,40.25,45,179,880,122024,0-100,C,Cf,Cfa,Temperate,Croplands,Croplands,"Temperate Grasslands, Savannas & Shrublands",T. Grasslands,EEU,23,21,C1b positive,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b positive.gpkg|layername=C1b positive,2093
216,850802,115.25,-30.25,115.5,-30.5,481,1181,189046,100-400,C,Cs,Csa,Temperate,Croplands,Croplands,"Mediterranean Forests, Woodlands & Scrub",Mediterranean,SAU,0,0,C1b positive,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b positive.gpkg|layername=C1b positive,634
217,216199,-105,40.5,-104.75,40.25,198,300,20340,800-1500,B,BS,BSk,Arid,Croplands,Croplands,"Temperate Grasslands, Savannas & Shrublands",T. Grasslands,CNA,12,12,C1b positive,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b positive.gpkg|layername=C1b positive,2047
218,185269,-115.75,33,-115.5,32.75,228,257,12634,0-100,B,BW,BWh,Arid,Croplands,Croplands,Deserts & Xeric Shrublands,Deserts,NCA,1,0,C1b positive,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b positive.gpkg|layername=C1b positive,179
219,570733,18,-33,18.25,-33.25,492,792,92264,0-100,C,Cs,Csb,Temperate,Croplands,Croplands,"Mediterranean Forests, Woodlands & Scrub",Mediterranean,WSAF,0,0,C1b positive,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b positive.gpkg|layername=C1b positive,51
220,847913,114.25,-28,114.5,-28.25,472,1177,187987,100-400,B,BS,BSh,Arid,Croplands,Croplands,"Mediterranean Forests, Woodlands & Scrub",Mediterranean,CAU,0,0,C1b positive,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b positive.gpkg|layername=C1b positive,25
221,259423,-90,34.5,-89.75,34.25,222,360,31406,0-100,C,Cf,Cfa,Temperate,Cropland/Natural Vegetation Mosaics,Croplands,"Temperate Grasslands, Savannas & Shrublands",T. Grasslands,ENA,12,12,C1b positive,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b positive.gpkg|layername=C1b positive,1504
222,734590,75,42.75,75.25,42.5,189,1020,150441,1500-3000,D,Df,Dfb,Continental,Croplands,Croplands,"Temperate Grasslands, Savannas & Shrublands",T. Grasslands,ECA,0,0,C1b positive,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b positive.gpkg|layername=C1b positive,76
223,311366,-72,8.75,-71.75,8.5,325,432,43277,0-100,A,Af,Af,Tropical,Cropland/Natural Vegetation Mosaics,Croplands,Tropical & Subtropical Dry Broadleaf Forests,T/S Dry BL Forests,NSA,0,0,C1b positive,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b positive.gpkg|layername=C1b positive,15
224,308675,-73,-38.5,-72.75,-38.75,514,428,41985,100-400,C,Cs,Csb,Temperate,Croplands,Croplands,"Mediterranean Forests, Woodlands & Scrub",Mediterranean,SWS,2,0,C1b positive,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b positive.gpkg|layername=C1b positive,80
225,170055,-121,56.5,-120.75,56.25,134,236,9606,400-800,D,Df,Dfb,Continental,Croplands,Croplands,Boreal Forests/Taiga,B. Forests,NWN,0,0,C1b positive,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b positive.gpkg|layername=C1b positive,502
226,336764,-63.25,-40.75,-63,-41,523,467,53741,0-100,B,BS,BSk,Arid,Cropland/Natural Vegetation Mosaics,Croplands,"Temperate Grasslands, Savannas & Shrublands",T. Grasslands,SSA,0,0,C1b positive,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b positive.gpkg|layername=C1b positive,3
227,507048,-4,48.25,-3.75,48,167,704,73696,100-400,C,Cf,Cfb,Temperate,Cropland/Natural Vegetation Mosaics,Croplands,Temperate Broadleaf & Mixed Forests,T. BL Forests,WCE,57,57,C1b positive,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b positive.gpkg|layername=C1b positive,5271
228,691357,60,51,60.25,50.75,156,960,139277,100-400,D,Df,Dfa,Continental,Croplands,Croplands,"Temperate Grasslands, Savannas & Shrublands",T. Grasslands,WSB,44,44,C1b positive,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1b positive.gpkg|layername=C1b positive,2135
229,469741,-17,15,-16.75,14.75,300,652,68228,0-100,B,BS,BSh,Arid,Croplands,Croplands,"Tropical & Subtropical Grasslands, Savannas & Shrublands",T/S Grasslands,SAH,0,0,C1c negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1c negative.gpkg|layername=C1c negative,22
230,602309,29,-7,29.25,-7.25,388,836,108263,1500-3000,A,Aw,Aw,Tropical,Cropland/Natural Vegetation Mosaics,Croplands,Tropical & Subtropical Moist Broadleaf Forests,T/S Moist BL Forests,SEAF,14,3,C1c negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1c negative.gpkg|layername=C1c negative,154
231,328793,-66,-28,-65.75,-28.25,472,456,50896,1500-3000,B,BS,BSk,Arid,Croplands,Croplands,"Tropical & Subtropical Grasslands, Savannas & Shrublands",T/S Grasslands,SES,41,19,C1c negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1c negative.gpkg|layername=C1c negative,1729
232,734640,75,30.25,75.25,30,239,1020,150392,100-400,B,BS,BSh,Arid,Croplands,Croplands,Deserts & Xeric Shrublands,Deserts,TIB,0,0,C1c negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1c negative.gpkg|layername=C1c negative,285
233,606553,30.5,12,30.75,11.75,312,842,110416,400-800,B,BS,BSh,Arid,Croplands,Croplands,"Tropical & Subtropical Grasslands, Savannas & Shrublands",T/S Grasslands,NEAF,6,3,C1c negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1c negative.gpkg|layername=C1c negative,173
234,277471,-83.75,22.5,-83.5,22.25,270,385,34917,0-100,A,Am,Am,Tropical,Croplands,Croplands,Tropical & Subtropical Coniferous Forests,T/S Coni. Forests,CAR,0,0,C1c negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1c negative.gpkg|layername=C1c negative,104
235,337400,-63,-19.75,-62.75,-20,439,468,54068,400-800,A,Aw,Aw,Tropical,Cropland/Natural Vegetation Mosaics,Croplands,"Tropical & Subtropical Grasslands, Savannas & Shrublands",T/S Grasslands,SAM,0,0,C1c negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1c negative.gpkg|layername=C1c negative,555
236,469742,-17,14.75,-16.75,14.5,301,652,68227,0-100,B,BS,BSh,Arid,Croplands,Croplands,"Tropical & Subtropical Grasslands, Savannas & Shrublands",T/S Grasslands,WAF,4,0,C1c negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1c negative.gpkg|layername=C1c negative,57
237,163624,-123.25,44.25,-123,44,183,227,8357,100-400,C,Cs,Csb,Temperate,Croplands,Croplands,"Temperate Grasslands, Savannas & Shrublands",T. Grasslands,WNA,0,0,C1c negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1c negative.gpkg|layername=C1c negative,165
238,892980,130,45.25,130.25,45,179,1240,202656,400-800,D,Dw,Dwb,Continental,Croplands,Croplands,Temperate Broadleaf & Mixed Forests,T. BL Forests,RFE,0,0,C1c negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1c negative.gpkg|layername=C1c negative,177
239,216160,-105,50.25,-104.75,50,159,300,20379,400-800,D,Df,Dfb,Continental,Croplands,Croplands,"Temperate Grasslands, Savannas & Shrublands",T. Grasslands,NEN,0,0,C1c negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1c negative.gpkg|layername=C1c negative,254
240,713054,67.5,26.75,67.75,26.5,253,990,144390,0-100,B,BW,BWh,Arid,Croplands,Croplands,Deserts & Xeric Shrublands,Deserts,SAS,12,0,C1c negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1c negative.gpkg|layername=C1c negative,3119
241,811697,101.75,26,102,25.75,256,1127,175364,800-1500,C,Cw,Cwa,Temperate,Croplands,Croplands,Tropical & Subtropical Moist Broadleaf Forests,T/S Moist BL Forests,EAS,9,0,C1c negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1c negative.gpkg|layername=C1c negative,3547
242,940093,146.25,-33,146.5,-33.25,492,1305,214884,100-400,B,BS,BSk,Arid,Croplands,Croplands,"Temperate Grasslands, Savannas & Shrublands",T. Grasslands,EAU,2,0,C1c negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1c negative.gpkg|layername=C1c negative,107
243,374840,-50,-19.75,-49.75,-20,439,520,63648,400-800,A,Aw,Aw,Tropical,Croplands,Croplands,Tropical & Subtropical Moist Broadleaf Forests,T/S Moist BL Forests,NES,1,1,C1c negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1c negative.gpkg|layername=C1c negative,1185
244,492692,-9,37.25,-8.75,37,211,684,70615,0-100,C,Cs,Csa,Temperate,Croplands,Croplands,"Mediterranean Forests, Woodlands & Scrub",Mediterranean,MED,1,0,C1c negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1c negative.gpkg|layername=C1c negative,2067
245,235733,-98.25,17,-98,16.75,292,327,25770,800-1500,A,Aw,Aw,Tropical,Croplands,Croplands,Tropical & Subtropical Coniferous Forests,T/S Coni. Forests,SCA,5,4,C1c negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1c negative.gpkg|layername=C1c negative,148
246,490472,-9.75,52.25,-9.5,52,151,681,70270,100-400,C,Cf,Cfb,Temperate,Cropland/Natural Vegetation Mosaics,Croplands,Temperate Broadleaf & Mixed Forests,T. BL Forests,NEU,1,0,C1c negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1c negative.gpkg|layername=C1c negative,651
247,790856,94.5,16.25,94.75,16,295,1098,167837,0-100,A,Am,Am,Tropical,Croplands,Croplands,Mangroves,Mangroves,SEA,41,6,C1c negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1c negative.gpkg|layername=C1c negative,882
248,777749,90,53,90.25,52.75,148,1080,164049,400-800,D,Dw,Dwc,Continental,Croplands,Croplands,"Temperate Grasslands, Savannas & Shrublands",T. Grasslands,ESB,1,0,C1c negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1c negative.gpkg|layername=C1c negative,603
249,633812,40,37.25,40.25,37,211,880,122001,400-800,C,Cs,Csa,Temperate,Croplands,Croplands,"Mediterranean Forests, Woodlands & Scrub",Mediterranean,WCA,2,0,C1c negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1c negative.gpkg|layername=C1c negative,1021
250,285498,-81,-4.25,-80.75,-4.5,377,396,36322,100-400,B,BS,BSh,Arid,Cropland/Natural Vegetation Mosaics,Croplands,Tropical & Subtropical Dry Broadleaf Forests,T/S Dry BL Forests,NWS,0,0,C1c negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1c negative.gpkg|layername=C1c negative,146
251,592291,25.5,-22.5,25.75,-22.75,450,822,103035,800-1500,B,BS,BSh,Arid,Croplands,Croplands,Deserts & Xeric Shrublands,Deserts,ESAF,0,0,C1c negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1c negative.gpkg|layername=C1c negative,67
252,1007821,169.75,-45,170,-45.25,540,1399,220810,400-800,C,Cf,Cfb,Temperate,Croplands,Croplands,"Temperate Grasslands, Savannas & Shrublands",T. Grasslands,NZ,2,0,C1c negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1c negative.gpkg|layername=C1c negative,21
253,633780,40,45.25,40.25,45,179,880,122024,0-100,C,Cf,Cfa,Temperate,Croplands,Croplands,"Temperate Grasslands, Savannas & Shrublands",T. Grasslands,EEU,7,6,C1c negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1c negative.gpkg|layername=C1c negative,2093
254,850802,115.25,-30.25,115.5,-30.5,481,1181,189046,100-400,C,Cs,Csa,Temperate,Croplands,Croplands,"Mediterranean Forests, Woodlands & Scrub",Mediterranean,SAU,33,2,C1c negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1c negative.gpkg|layername=C1c negative,634
255,216199,-105,40.5,-104.75,40.25,198,300,20340,800-1500,B,BS,BSk,Arid,Croplands,Croplands,"Temperate Grasslands, Savannas & Shrublands",T. Grasslands,CNA,8,0,C1c negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1c negative.gpkg|layername=C1c negative,2047
256,185269,-115.75,33,-115.5,32.75,228,257,12634,0-100,B,BW,BWh,Arid,Croplands,Croplands,Deserts & Xeric Shrublands,Deserts,NCA,5,2,C1c negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1c negative.gpkg|layername=C1c negative,179
257,570733,18,-33,18.25,-33.25,492,792,92264,0-100,C,Cs,Csb,Temperate,Croplands,Croplands,"Mediterranean Forests, Woodlands & Scrub",Mediterranean,WSAF,0,0,C1c negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1c negative.gpkg|layername=C1c negative,51
258,847913,114.25,-28,114.5,-28.25,472,1177,187987,100-400,B,BS,BSh,Arid,Croplands,Croplands,"Mediterranean Forests, Woodlands & Scrub",Mediterranean,CAU,0,0,C1c negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1c negative.gpkg|layername=C1c negative,25
259,259423,-90,34.5,-89.75,34.25,222,360,31406,0-100,C,Cf,Cfa,Temperate,Cropland/Natural Vegetation Mosaics,Croplands,"Temperate Grasslands, Savannas & Shrublands",T. Grasslands,ENA,3,0,C1c negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1c negative.gpkg|layername=C1c negative,1504
260,734590,75,42.75,75.25,42.5,189,1020,150441,1500-3000,D,Df,Dfb,Continental,Croplands,Croplands,"Temperate Grasslands, Savannas & Shrublands",T. Grasslands,ECA,3,0,C1c negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1c negative.gpkg|layername=C1c negative,76
261,311366,-72,8.75,-71.75,8.5,325,432,43277,0-100,A,Af,Af,Tropical,Cropland/Natural Vegetation Mosaics,Croplands,Tropical & Subtropical Dry Broadleaf Forests,T/S Dry BL Forests,NSA,0,0,C1c negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1c negative.gpkg|layername=C1c negative,15
262,308675,-73,-38.5,-72.75,-38.75,514,428,41985,100-400,C,Cs,Csb,Temperate,Croplands,Croplands,"Mediterranean Forests, Woodlands & Scrub",Mediterranean,SWS,0,0,C1c negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1c negative.gpkg|layername=C1c negative,80
263,170055,-121,56.5,-120.75,56.25,134,236,9606,400-800,D,Df,Dfb,Continental,Croplands,Croplands,Boreal Forests/Taiga,B. Forests,NWN,3,0,C1c negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1c negative.gpkg|layername=C1c negative,502
264,336764,-63.25,-40.75,-63,-41,523,467,53741,0-100,B,BS,BSk,Arid,Cropland/Natural Vegetation Mosaics,Croplands,"Temperate Grasslands, Savannas & Shrublands",T. Grasslands,SSA,0,0,C1c negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1c negative.gpkg|layername=C1c negative,3
265,507048,-4,48.25,-3.75,48,167,704,73696,100-400,C,Cf,Cfb,Temperate,Cropland/Natural Vegetation Mosaics,Croplands,Temperate Broadleaf & Mixed Forests,T. BL Forests,WCE,1,0,C1c negative,C:/Users/Computer/Desktop/QGIS start/data/temporary/statistics/C1c negative.gpkg|layername=C1c negative,5271
